Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2024,06,21,00,00,00,0.25034
2024,06,21,01,00,00,0.38913
2024,06,21,02,00,00,2.46035
2024,06,21,03,00,00,22.71416
2024,06,21,04,00,00,61.70678
2024,06,21,05,00,00,173.46658
2024,06,21,06,00,00,305.98804
2024,06,21,07,00,00,791.32505
2024,06,21,08,00,00,1102.50798
2024,06,21,09,00,00,1297.47298
2024,06,21,10,00,00,1452.04075
2024,06,21,11,00,00,1505.92934
2024,06,21,12,00,00,1504.25518
2024,06,21,13,00,00,1545.7456
2024,06,21,14,00,00,1531.24631
2024,06,21,15,00,00,840.68562
2024,06,21,16,00,00,707.84628
2024,06,21,17,00,00,907.12819
2024,06,21,18,00,00,541.11815
2024,06,21,19,00,00,338.48414
2024,06,21,20,00,00,141.16797
2024,06,21,21,00,00,47.44376
2024,06,21,22,00,00,7.33172
2024,06,21,23,00,00,0.76012
2024,06,22,00,00,00,0.29255
2024,06,22,01,00,00,1.01896
2024,06,22,02,00,00,10.39258
2024,06,22,03,00,00,57.56095
2024,06,22,04,00,00,197.56728
2024,06,22,05,00,00,393.06306
2024,06,22,06,00,00,625.96867
2024,06,22,07,00,00,870.98511
2024,06,22,08,00,00,1100.92051
2024,06,22,09,00,00,1287.5324
2024,06,22,10,00,00,1303.25233
2024,06,22,11,00,00,1409.71389
2024,06,22,12,00,00,1652.61241
2024,06,22,13,00,00,1680.3838
2024,06,22,14,00,00,1433.04919
2024,06,22,15,00,00,1116.60717
2024,06,22,16,00,00,547.11306
2024,06,22,17,00,00,764.33414
2024,06,22,18,00,00,546.54864
2024,06,22,19,00,00,240.43431
2024,06,22,20,00,00,70.99621
2024,06,22,21,00,00,25.74765
2024,06,22,22,00,00,5.34193
2024,06,22,23,00,00,0.69917
2024,06,23,00,00,00,0.29452
2024,06,23,01,00,00,1.12179
2024,06,23,02,00,00,10.41252
2024,06,23,03,00,00,61.60072
2024,06,23,04,00,00,213.00115
2024,06,23,05,00,00,392.77853
2024,06,23,06,00,00,625.73727
2024,06,23,07,00,00,871.04141
2024,06,23,08,00,00,1069.80208
2024,06,23,09,00,00,961.78199
